 ,GS029, GS028, GS021, GS023, GS022, GS027, GS026, GS051, GS108a, GS117a, GS011, GS012, GS013, GS014, GS015, GS016, GS017, GS018, GS019, GS119, GS049, GS113, GS112a, GS030, GS031, GS036, GS048a, GS034, GS035, GS122a, GS114, GS110a, GS120, GS121, GS123, GS148, GS149, GS007, GS006, GS005, GS004, GS003, GS002, GS001c, GS009, GS008
GS149,14416.6, 14343.2, 13265.6, 14009.3, 13610.6, 14354.5, 14378.3, 17543.3, 6366.4, 1822.3, 12543.9, 12631.5, 12604.0, 13023.0, 13537.7, 13670.5, 13834.5, 13691.5, 13335.9, 2368.5, 17217.3, 4111.1, 4556.2, 14511.7, 14504.8, 14459.3, 17214.4, 14352.5, 14547.9, 2759.0, 2864.5, 5428.5, 2504.1, 2618.9, 2934.2, 52.8, 0.0, 11759.0, 11591.1, 11492.6, 11498.1, 11717.8, 11805.2, 11649.5, 12184.9, 12157.2
GS007,5424.9, 5507.2, 4140.4, 4644.3, 4417.3, 5511.4, 5251.6, 10428.4, 16176.7, 12921.5, 858.9, 953.4, 1117.8, 1643.0, 2590.4, 2687.5, 3092.6, 3258.7, 3881.4, 14075.9, 10788.2, 14593.5, 14982.5, 5412.0, 5471.2, 5422.5, 10791.0, 5419.8, 5307.0, 13631.9, 13648.2, 15616.6, 14089.9, 13753.2, 13430.3, 11809.0, 11759.0, 0.0, 223.3, 281.8, 262.7, 100.6, 129.5, 1291.3, 482.0, 439.3
GS006,5645.4, 5727.0, 4350.1, 4863.2, 4631.9, 5731.3, 5472.2, 10620.3, 15958.8, 12723.7, 1073.5, 1167.6, 1341.1, 1866.0, 2813.7, 2910.9, 3315.8, 3480.3, 4093.8, 13920.4, 10980.3, 14373.8, 14760.8, 5633.2, 5692.3, 5643.3, 10983.1, 5639.8, 5528.6, 13523.6, 13438.1, 15393.3, 13946.8, 13634.2, 13334.6, 11640.7, 11591.1, 223.3, 0.0, 113.3, 149.5, 271.0, 343.5, 1439.9, 700.9, 656.3
GS005,5666.6, 5745.9, 4350.5, 4880.1, 4639.9, 5750.5, 5493.6, 10707.1, 15943.9, 12641.1, 1140.1, 1234.6, 1385.0, 1911.7, 2849.7, 2950.3, 3350.9, 3505.9, 4098.5, 13818.0, 11067.0, 14317.6, 14710.3, 5656.7, 5715.1, 5665.5, 11069.8, 5659.5, 5553.7, 13412.2, 13366.7, 15357.5, 13841.1, 13524.0, 13222.1, 11542.3, 11492.6, 281.8, 113.3, 0.0, 61.5, 290.9, 378.5, 1394.6, 761.8, 720.2
GS004,5616.6, 5695.2, 4294.9, 4828.9, 4586.1, 5699.9, 5443.7, 10690.5, 15995.6, 12660.6, 1113.2, 1207.7, 1345.7, 1872.5, 2805.6, 2907.7, 3306.4, 3457.8, 4044.0, 13818.5, 11050.3, 14353.3, 14748.7, 5607.4, 5665.7, 5615.8, 11053.1, 5609.0, 5505.0, 13396.9, 13393.7, 15402.1, 13837.1, 13512.1, 13203.2, 11548.0, 11498.1, 262.7, 149.5, 61.5, 0.0, 251.9, 342.9, 1333.1, 733.6, 694.0
GS003,5380.4, 5460.9, 4079.2, 4596.2, 4362.0, 5465.4, 5207.3, 10451.5, 16226.7, 12902.8, 865.8, 960.1, 1094.8, 1621.6, 2558.9, 2659.4, 3060.3, 3217.7, 3823.3, 14026.7, 10811.2, 14605.1, 14999.9, 5369.5, 5428.2, 5378.9, 10813.9, 5374.1, 5265.8, 13561.6, 13643.0, 15648.2, 14034.3, 13686.9, 13355.5, 11768.1, 11717.8, 100.6, 271.0, 290.9, 251.9, 0.0, 92.2, 1197.8, 486.3, 449.5
GS002,5302.0, 5383.5, 4011.8, 4519.8, 4290.2, 5387.9, 5128.8, 10360.1, 16302.0, 12994.6, 773.6, 867.9, 1006.7, 1533.3, 2474.2, 2573.5, 2976.0, 3137.4, 3753.5, 14110.9, 10719.8, 14695.3, 15088.8, 5290.0, 5349.0, 5300.0, 10722.5, 5296.3, 5185.7, 13633.2, 13735.2, 15732.6, 14115.4, 13761.6, 13423.4, 11855.5, 11805.2, 129.5, 343.5, 378.5, 342.9, 92.2, 0.0, 1174.4, 394.2, 358.0
GS001c,4538.8, 4599.6, 3099.2, 3735.0, 3433.5, 4605.9, 4371.2, 10253.4, 17082.7, 13087.4, 1277.0, 1313.7, 1089.4, 1386.5, 2004.2, 2133.9, 2446.2, 2490.2, 2880.9, 13799.8, 10604.1, 15095.0, 15542.0, 4547.8, 4600.6, 4545.8, 10606.6, 4520.3, 4460.2, 13055.8, 13968.6, 16325.7, 13722.2, 13236.9, 12788.4, 11702.0, 11649.5, 1291.3, 1439.9, 1394.6, 1333.1, 1197.8, 1174.4, 0.0, 1176.5, 1201.4
GS009,4984.0, 5070.3, 3751.2, 4213.3, 4007.2, 5074.1, 4810.4, 9967.1, 16600.7, 13388.6, 379.8, 474.2, 654.6, 1172.1, 2130.3, 2222.0, 2632.4, 2814.5, 3482.2, 14477.9, 10326.6, 15074.6, 15460.9, 4966.9, 5027.0, 4979.7, 10329.4, 4981.6, 4859.2, 13949.5, 14127.3, 16079.9, 14470.3, 14090.4, 13724.4, 12235.5, 12184.9, 482.0, 700.9, 761.8, 733.6, 486.3, 394.2, 1176.5, 0.0, 48.6
GS008,5032.6, 5118.9, 3799.0, 4261.9, 4055.6, 5122.7, 4859.0, 10002.1, 16552.1, 13352.2, 419.9, 514.4, 703.0, 1219.7, 2178.5, 2269.8, 2680.6, 2863.1, 3530.3, 14454.6, 10361.8, 15029.9, 15415.0, 5015.4, 5075.5, 5028.3, 10364.5, 5030.2, 4907.7, 13938.5, 14086.7, 16032.0, 14450.4, 14076.7, 13716.3, 12207.7, 12157.2, 439.3, 656.3, 720.2, 694.0, 449.5, 358.0, 1201.4, 48.6, 0.0
