"","GS001c","GS002","GS003","GS004","GS005","GS006","GS007","GS008","GS009","GS011","GS013","GS014","GS015","GS016","GS017","GS018","GS019","GS021","GS022","GS023","GS026","GS027","GS028","GS029","GS030","GS031","GS034","GS035","GS036","GS048a","GS049","GS051","GS108a","GS110a","GS112a","GS113","GS114","GS117a","GS119","GS120","GS121","GS122a","GS123","GS148","GS149"
"TAF4",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSS1_SEM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30397000400071e-06,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"DIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,8.69648401151414e-06,0,0,0
"YopJ",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,5.53878534437398e-06,0,0,0,0,5.57817816701065e-06,0,0,0,0,3.72285572817197e-06,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"SPT16",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,5.81882506284331e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70355635340352e-06,8.60015308272487e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF3145",0,0,0,0,1.45844879386285e-05,0,0,1.13737176133391e-05,9.32088063680257e-06,6.3637888841964e-05,2.53082865657288e-05,5.58032600264507e-06,5.53878534437398e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7417956320789e-06,0,0,0,0,0,0,0,0
"TBP",1.48894828138145e-05,0.000239470155176661,0.000359809301070433,0.000117536436295252,0.000116675903509028,0.00016664881143687,0.000396229218602962,0.0001307977525534,0.000260984657830472,9.83494645739443e-05,0.00011388728954578,0.000245534344116383,0.000105236921543106,0.000139651801508239,5.69221617898605e-05,5.46964347869325e-05,5.27345500951859e-05,8.92508506721705e-05,4.06652840470091e-05,4.42343313704349e-05,4.77174039005569e-05,5.45041246797883e-05,7.44571145634393e-05,9.94124202738551e-05,5.40610673817144e-06,5.66949017492676e-05,5.31403276632604e-05,1.95388823759281e-05,9.30397000400071e-05,5.82213381204211e-05,1.72003061654497e-05,0.000124925639500297,0,9.85444977679671e-05,1.87076738878288e-05,2.12681488203267e-05,4.64507737924734e-05,9.98389440192532e-05,1.24415248332836e-05,1.88185701650389e-05,3.36399050009083e-05,2.60894520345424e-05,4.33770477581296e-05,3.22575442331575e-05,2.9601782027278e-05
"Streptin-Immun",0,0,0,0,0,0,0,0,9.32088063680257e-06,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ApoA-II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80203557939048e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72798100018166e-06,0,0,0,0
"Cas_DxTHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,9.35383694391439e-06,0,0,0,0,0,0,0,0,0,0
"OTCace",0.000863590003201239,0.000711568461096363,0.000565414615967823,0.000705218617771509,0.000597964005483768,0.000678498732278684,0.000561324726354196,0.000693796774413685,0.000960050705590664,0.00093721254476347,0.000582090591011762,0.000518970318245992,0.000875128084411089,0.000884461409552183,0.000853832426847907,0.000979563423002337,0.000817385526475381,0.000909243041222737,0.000778449723185602,0.000713278593348262,0.000845279726238437,0.000872065994876612,0.000785522558644285,0.000868550619234734,0.000774875299137906,0.000956151856528188,0.000712080390687689,0.000688745603751465,0.00092109303039607,0.000718063170151861,0.000842815002107038,0.000892325996430696,0.000755287009063444,0.000798210431920534,0.00076701462940098,0.000772742740471869,0.000965143855465837,0.00081973027721071,0.0009082313128297,0.000940928508251943,0.000861181568023252,0.000791380045047787,0.000853081939243215,0.000822567377945517,0.000895453906325161
"SecD_SecF",0.000975261124304847,0.000992090642874737,0.000938074249219342,0.00101375176304654,0.000889653764256337,0.000666595245747479,0.00062736292945469,0.000779099656513728,0.000708386928396995,0.000769439928725564,0.000949060746214829,0.000976557050462888,0.000858511728377967,0.000820454333860907,0.000973368966606614,0.000964646213514992,0.000928128081675271,0.00100407207006192,0.00114443727960868,0.00101738962152,0.000845279726238437,0.000923363994575237,0.000912099653402132,0.000894711782464696,0.00106320099184038,0.000985265454723758,0.000876815406443796,0.00102579132473623,0.000967612880416074,0.000912134297219931,0.000946016839099736,0.000939916716240333,0.000845202129190045,0.000896754929688501,0.000991506716054926,0.000978334845735027,0.000978046848185968,0.000867022408588251,0.000970438936996118,0.000959747078416982,0.00093518935902525,0.000974006209289584,0.000918147510880409,0.00104837018757762,0.00105826370747519
"hATC",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70355635340352e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSP",0,0,0,0,0,0,0,5.68685880666955e-06,0,0,0,0,0,1.16376501256866e-05,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72798100018166e-06,0,0,0,0
"PFU",7.44474140690723e-06,4.10520266017132e-05,5.14013287243475e-05,0,1.45844879386285e-05,2.380697306241e-05,1.65095507751234e-05,0,0,5.78526262199673e-06,2.53082865657288e-05,1.11606520052901e-05,5.53878534437398e-06,0,1.13844323579721e-05,0,3.69141850666301e-05,1.11563563340213e-05,5.80932629242987e-06,1.10585828426087e-05,6.81677198579385e-06,1.28244999246561e-05,7.44571145634393e-06,0,3.60407115878096e-06,1.68552410605931e-05,1.59420982989781e-05,4.88472059398202e-06,3.72158800160028e-05,1.9407112706807e-05,8.60015308272487e-06,0,0,9.85444977679671e-06,9.35383694391439e-06,0,2.06447883522104e-05,7.88202189625683e-06,0,0,6.72798100018166e-06,8.69648401151414e-06,0,0,0
"DUF1716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06438605828938e-06,0
"GvpD",7.44474140690723e-06,6.84200443361887e-06,0,4.40761636107193e-05,1.45844879386285e-05,2.380697306241e-05,1.65095507751234e-05,1.70605764200086e-05,0,1.15705252439935e-05,1.26541432828644e-05,1.11606520052901e-05,4.98490680993658e-05,3.49129503770599e-05,5.12299456108744e-05,5.96688379493809e-05,3.16407300571115e-05,1.11563563340213e-05,2.32373051697195e-05,1.65878742639131e-05,4.77174039005569e-05,2.56489998493121e-05,1.11685671845159e-05,1.56966979379771e-05,1.08122134763429e-05,2.60490089118256e-05,2.12561310653041e-05,9.76944118796405e-06,0,9.70355635340352e-06,5.16009184963492e-05,5.94883997620464e-06,1.79830240253201e-05,0,9.35383694391439e-06,4.96256805807623e-05,2.32253868962367e-05,1.05093625283424e-05,3.73245744998507e-05,1.88185701650389e-05,4.70958670012716e-05,3.47859360460566e-05,4.33770477581296e-05,0,1.4800891013639e-05
"DUF900",7.44474140690723e-06,0,0,1.46920545369064e-05,0,0,0,5.68685880666955e-06,0,0,1.89812149242966e-05,1.11606520052901e-05,0,1.74564751885299e-05,2.84610808949302e-06,1.49172094873452e-05,0,0,5.80932629242987e-06,5.52929142130436e-06,1.36335439715877e-05,9.61837494349205e-06,1.11685671845159e-05,0,9.0101778969524e-06,1.07260624931047e-05,0,1.46541617819461e-05,0,1.9407112706807e-05,1.72003061654497e-05,5.94883997620464e-06,0,0,0,0,7.7417956320789e-06,5.25468126417122e-06,0,0,0,8.69648401151414e-06,7.22950795968826e-06,1.61287721165788e-05,1.4800891013639e-05
"TGFb_propeptide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,3.20612498116402e-06,0,1.04644652919847e-05,0,0,0,1.46541617819461e-05,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"Cas1p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97240316244841e-06,0,0,0,0,0,3.20612498116402e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06438605828938e-06,0
"DNA_RNApol_7kD",0,6.84200443361887e-06,0,0,0,0,0,5.68685880666955e-06,0,0,1.26541432828644e-05,5.58032600264507e-06,1.1077570688748e-05,2.90941253142166e-05,2.56149728054372e-05,1.49172094873452e-05,1.05469100190372e-05,0,0,1.10585828426087e-05,0,9.61837494349205e-06,3.72285572817197e-06,1.04644652919847e-05,3.60407115878096e-06,6.12917856748839e-06,5.31403276632604e-06,0,0,9.70355635340352e-06,0,4.16418798334325e-05,0,0,0,0,7.7417956320789e-06,1.83913844245993e-05,0,0,0,0,7.22950795968826e-06,8.06438605828938e-06,0
"Fer4",0.00137727716027784,0.00155313500643148,0.00128503321810869,0.00133697696285849,0.00153137123355599,0.00180932995274316,0.00143633091743574,0.00153545187780078,0.00147269914061481,0.00174714931184301,0.00144257233424654,0.00154575030273269,0.0014899332576366,0.00158853924215622,0.00152836004405775,0.00150166575505942,0.00121289465218927,0.0017292352317733,0.00158013675154092,0.00138785214674739,0.00142470534503091,0.00154535224092106,0.0014742508683561,0.00143363174500191,0.00138396332497189,0.00173608982924109,0.00146135901073966,0.00153868698710434,0.00169332254072813,0.0016399010237252,0.00131582342165691,0.0017965496728138,0.00143864192202561,0.00130078737053717,0.00137501403075542,0.00147459165154265,0.00156900391476799,0.00152648490724174,0.00149298297999403,0.00143021133254295,0.00162817140204396,0.00135665150579621,0.00150373765561516,0.00175803616070709,0.00134688108224115
"Chlam_OMP6",0,0,0,0,0,0,0,5.68685880666955e-06,0,0,1.26541432828644e-05,0,0,0,0,0,0,0,0,5.52929142130436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rep_fac-A_C",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,5.57817816701065e-06,0,0,0,0,0,0,0,0,5.31403276632604e-06,0,0,0,0,0,0,9.85444977679671e-06,0,0,2.5805985440263e-06,5.25468126417122e-06,0,0,0,0,0,0,7.40044550681951e-06
"DUF1485",6.70026726621651e-05,3.42100221680944e-05,0.000102802657448695,0.000117536436295252,0.000116675903509028,0.00016664881143687,0.000181605058526358,0.000170605764200086,9.32088063680256e-05,4.62821009759738e-05,0.00011388728954578,7.2544238034386e-05,9.41593508543576e-05,9.89200260683363e-05,9.96137831322558e-05,5.46964347869325e-05,0.000158203650285558,0.000156188988676298,6.97119155091584e-05,0.000105056537004783,1.36335439715877e-05,4.80918747174602e-05,3.72285572817197e-05,9.94124202738551e-05,6.48732808580573e-05,0.000108792919572919,0.000100966622560195,5.37319265338023e-05,3.72158800160028e-05,0.000116442676240842,5.16009184963492e-05,2.37953599048186e-05,7.19320961012804e-05,0.000108398947544764,6.54768586074008e-05,9.92513611615245e-05,0.000105804540305078,9.19569221229963e-05,8.7090673832985e-05,3.76371403300777e-05,6.72798100018166e-05,9.56613241266556e-05,0.0001229016353147,4.83863163497363e-05,6.66040095613756e-05
"TnsA_N",8.93368968828868e-05,0.000417362270450751,0.000141353653991956,0.000190996708979784,0.000408365662281597,0.000202359271030485,0.000330191015502468,7.39291644867041e-05,7.45670450944205e-05,4.62821009759738e-05,0.000158176791035805,0.000178570432084642,0.000155085989642471,0.000174564751885299,0.000270380268501837,0.000238675351797524,0.000189844380342669,0.000228705304847437,0.000226563725404765,0.000364933233806088,0.000211319931559609,0.000163512374039365,0.00017125136349591,0.00019882484054771,6.12692096992763e-05,6.4356374958628e-05,0.000175363081288759,0.000117233294255569,0.000279119100120021,0.000271699577895299,8.60015308272487e-05,0.000458060678167757,0.000125881168177241,0.000216797895089528,0.00023384592359786,0.000141787658802178,0.000294188234018998,0.000194423206774335,0.000136856773166119,0.000207004271815427,8.07357720021799e-05,0.00010435780813817,7.22950795968826e-05,3.22575442331575e-05,0.000111006682602293
"DUF2510",5.95579312552579e-05,8.89460576370453e-05,5.14013287243475e-05,0,0,3.5710459593615e-05,3.30191015502468e-05,5.11817292600259e-05,4.66044031840128e-05,2.31410504879869e-05,0.000101233146262915,3.90622820185155e-05,2.21551413774959e-05,2.32753002513732e-05,2.27688647159442e-05,2.98344189746905e-05,0,1.11563563340213e-05,3.48559577545792e-05,2.21171656852174e-05,0,5.45041246797883e-05,4.46742687380636e-05,2.09289305839695e-05,3.60407115878096e-06,1.99198303443373e-05,1.59420982989781e-05,2.44236029699101e-05,0,4.85177817670176e-05,0,2.97441998810232e-05,0,1.97088995535934e-05,9.35383694391439e-06,7.08938294010889e-06,2.5805985440263e-05,2.36460656887705e-05,1.24415248332836e-05,0,0,0,7.22950795968826e-06,2.41931581748681e-05,7.40044550681951e-06
"AIRS_C",0.0014368350915331,0.0013068228468212,0.00109227823539238,0.00116067230841561,0.000977160691888108,0.00126176957230773,0.00160142642518697,0.000870089397420441,0.0014447364987044,0.00122647567586331,0.000999677319346287,0.00119418976456605,0.00125730427317289,0.00129759798901406,0.00123236480275048,0.00133260404753617,0.00149238776769376,0.00126066826574441,0.00134776369984373,0.00128279560974261,0.00169055945247687,0.00134016024212656,0.00118386812155869,0.00136561272060401,0.00131728800853444,0.00128559520453069,0.00121691350348866,0.00135306760453302,0.0012653399205441,0.00115472320605502,0.00139322479940143,0.00110053539559786,0.00152855704215221,0.00141904076785873,0.00138436786769933,0.00131153584392015,0.00130836346182133,0.00120594935012729,0.00153030755449388,0.00133611848171776,0.00129850033303506,0.00143491986189983,0.00134468848050202,0.00120159352268512,0.00130987885470705
"CX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"Ded_cyto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,5.31403276632604e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HELP",0,0,0,2.93841090738129e-05,0,0,0,0,0,0,1.89812149242966e-05,0,1.1077570688748e-05,1.16376501256866e-05,0,0,0,0,0,0,0,6.41224996232803e-06,1.11685671845159e-05,0,0,0,5.31403276632604e-06,0,9.30397000400071e-06,0,0,5.94883997620464e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF1289",0.000335013363310825,0.000273680177344755,0.000218455647078477,0.000352609308885755,0.000218767319079427,0.0002380697306241,0.000280662363177098,0.000216100634653443,0.000214380254646459,0.000138846302927921,0.000272064080581584,0.000212052388100513,0.000193857487053089,0.000226934177450889,0.000281764700859809,0.000263537367609766,0.000311133845561597,0.000317956155519607,0.000145233157310747,0.000281993862486522,0.000218136703545403,0.000275726748380105,0.000249431333787522,0.000224986003777672,0.000232462589741372,0.000251296321267024,0.000223189376185694,0.000195388823759281,0.000148863520064011,0.000184367570714667,0.000206403673985397,0.000303390838786437,0.000179830240253201,0.000246361244419918,0.000205784412766117,0.000233949637023593,0.000247737460226525,0.000249597360048133,0.000211505922165821,0.000244641412145505,0.000248935297006721,0.000286983972379967,0.000260262286548777,0.000249995967806971,0.000222013365204585
"PIP5K",7.44474140690723e-06,6.84200443361887e-06,0,1.46920545369064e-05,0,0,0,0,0,0,1.26541432828644e-05,0,5.53878534437398e-06,2.32753002513732e-05,2.84610808949302e-06,1.49172094873452e-05,0,2.23127126680426e-05,1.16186525848597e-05,1.10585828426087e-05,0,3.20612498116402e-06,0,0,0,3.06458928374419e-06,5.31403276632604e-06,0,9.30397000400071e-06,0,0,0,0,0,9.35383694391439e-06,0,1.03223941761052e-05,2.62734063208561e-06,4.97660993331343e-05,0,1.34559620003633e-05,0,0,1.61287721165788e-05,0
"Cwf_Cwc_15",0,0,0,1.46920545369064e-05,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,9.94480632489682e-06,0,0,0,1.10585828426087e-05,0,0,0,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP54_N",0.000573245088331857,0.000444730288185227,0.000475462290700215,0.000558298072402445,0.000393781174342969,0.000488042947779405,0.000363210117052715,0.000699483633220354,0.000503327554387338,0.000613237837931653,0.000493511588031711,0.000608255534288313,0.000465257968927414,0.000523694255655898,0.000509453348019251,0.000522102332057083,0.000543165865980414,0.000479723322362916,0.000592551281827846,0.000503165519338697,0.00062032625070724,0.000602751496458835,0.000532368369128591,0.000591242288997138,0.000493757748752991,0.000548561481790211,0.000462320850670365,0.000591051191871825,0.000688493780296052,0.000388142254136141,0.000731013012031614,0.000511600237953599,0.000521507696734283,0.000482868039063039,0.000738953118569237,0.000666401996370236,0.000513539110261234,0.000517586104520865,0.000659400816164029,0.000376371403300777,0.000692982043018711,0.000591360912782962,0.000578360636775061,0.000661279656779729,0.000436626284902351
"Peptidase_M54",0,0,0,0,0,0,0,0,2.79626419104077e-05,0,1.26541432828644e-05,5.58032600264507e-06,0,5.81882506284331e-06,0,0,0,0,5.80932629242987e-06,0,0,3.20612498116402e-06,0,1.04644652919847e-05,3.60407115878096e-06,0,0,0,0,0,0,5.94883997620464e-06,0,0,0,0,0,5.25468126417122e-06,0,0,0,0,0,0,0
"WH1",0,0,0,0,0,0,0,0,0,0,0,0,2.76939267218699e-05,5.81882506284331e-06,1.42305404474651e-05,4.97240316244841e-06,1.05469100190372e-05,0,5.80932629242987e-06,0,2.72670879431754e-05,3.20612498116402e-06,0,0,0,0,0,0,0,0,7.74013777445239e-05,0,1.79830240253201e-05,1.97088995535934e-05,9.35383694391439e-06,2.12681488203267e-05,7.7417956320789e-06,2.62734063208561e-06,2.48830496665671e-05,3.76371403300777e-05,6.72798100018166e-06,0,0,8.06438605828938e-06,0
"TAFH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PaaA_PaaC",3.72237070345362e-05,6.84200443361887e-06,0.000141353653991956,8.81523272214386e-05,0.000116675903509028,3.5710459593615e-05,9.90573046507404e-05,0.000142171470166739,0.000139813209552038,5.20673635979705e-05,8.22519313386186e-05,9.48655420449663e-05,4.98490680993658e-05,6.98259007541197e-05,6.54604860583395e-05,1.98896126497936e-05,4.74610950856673e-05,6.69381380041278e-05,6.39025892167285e-05,2.21171656852174e-05,4.09006319147631e-05,6.73286246044443e-05,0.000126577094757847,3.66256285219466e-05,3.60407115878096e-05,6.58886696005001e-05,1.59420982989781e-05,8.30402500976944e-05,7.44317600320057e-05,4.85177817670176e-05,0.000129002296240873,7.13860797144557e-05,0.000107898144151921,6.8981148437577e-05,5.61230216634864e-05,8.50725952813067e-05,6.96761606887101e-05,6.83108564342258e-05,6.22076241664178e-05,1.88185701650389e-05,2.0183943000545e-05,3.47859360460566e-05,2.16885238790648e-05,5.64507024080257e-05,3.70022275340975e-05
"Auxin_BP",7.44474140690723e-06,1.36840088672377e-05,0,1.46920545369064e-05,0,0,0,3.98080116466868e-05,1.86417612736051e-05,1.73557878659902e-05,6.3270716414322e-06,0,1.1077570688748e-05,5.81882506284331e-06,5.69221617898605e-06,4.97240316244841e-06,0,5.57817816701065e-06,0,0,0,9.61837494349205e-06,3.72285572817197e-06,1.04644652919847e-05,7.20814231756192e-06,9.19376785123258e-06,0,0,9.30397000400071e-06,0,0,0,0,0,0,0,5.1611970880526e-06,2.62734063208561e-06,1.24415248332836e-05,0,6.72798100018166e-06,0,0,8.06438605828938e-06,7.40044550681951e-06
"DUF1562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80932629242987e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF1094",0.000111671121103608,4.10520266017132e-05,1.28503321810869e-05,1.46920545369064e-05,4.37534638158854e-05,3.5710459593615e-05,6.60382031004936e-05,5.68685880666955e-06,5.59252838208154e-05,1.73557878659902e-05,4.42895014900254e-05,1.67409780079352e-05,2.21551413774959e-05,4.65506005027465e-05,2.56149728054372e-05,1.98896126497936e-05,0,1.11563563340213e-05,3.48559577545792e-05,2.21171656852174e-05,3.40838599289692e-05,4.48857497362962e-05,5.21199801944075e-05,5.75545591059161e-05,5.22590318023239e-05,5.66949017492676e-05,0,4.88472059398202e-05,4.65198500200035e-05,4.85177817670176e-05,8.60015308272487e-06,1.78465199286139e-05,1.79830240253201e-05,3.94177991071868e-05,9.35383694391439e-06,2.12681488203267e-05,2.5805985440263e-05,4.20374501133698e-05,2.48830496665671e-05,1.88185701650389e-05,6.72798100018166e-06,1.73929680230283e-05,3.61475397984413e-05,8.87082466411832e-05,5.18031185477366e-05
"ATP-synt_8",5.95579312552579e-05,7.52620487698076e-05,0.000102802657448695,0.00020568876351669,7.29224396931424e-05,0.00019045578449928,3.30191015502468e-05,2.84342940333477e-05,0.000130492328915236,2.89263131099836e-05,1.89812149242966e-05,6.69639120317409e-05,3.87714974106179e-05,5.23694255655898e-05,5.12299456108744e-05,7.45860474367262e-05,3.69141850666301e-05,5.02036035030959e-05,8.13305680940181e-05,6.63514970556523e-05,0.000115885123758495,5.12979996986243e-05,5.58428359225795e-05,7.84834896898856e-05,8.82997433901335e-05,7.81470267354769e-05,6.90824259622385e-05,8.30402500976944e-05,5.58238200240042e-05,7.76284508272282e-05,9.46016839099736e-05,6.5437239738251e-05,0.000143864192202561,6.8981148437577e-05,0.000121599880270887,9.21619782214156e-05,6.45149636006575e-05,8.40749002267395e-05,9.95321986662685e-05,0.000112911420990233,0.000114375677003088,4.34824200575707e-05,4.33770477581296e-05,7.25794745246044e-05,2.9601782027278e-05
"PAP_central",0,0,0,1.46920545369064e-05,1.45844879386285e-05,0,0,1.13737176133391e-05,0,0,6.3270716414322e-06,0,0,0,2.84610808949302e-06,4.97240316244841e-06,5.27345500951859e-06,5.57817816701065e-06,0,0,0,1.60306249058201e-05,7.44571145634393e-06,0,0,0,0,0,9.30397000400071e-06,0,0,1.18976799524093e-05,0,0,9.35383694391439e-06,0,0,0,0,0,0,0,0,8.06438605828938e-06,0
"DUF1778",0,0,1.28503321810869e-05,0,0,0,0,2.27474352266782e-05,0,5.78526262199673e-05,0,5.58032600264507e-06,0,0,0,0,0,0,0,0,6.81677198579385e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06438605828938e-06,0
"NDUF_B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27345500951859e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF997",0,0,0,0,0,0,0,0,0,0,6.3270716414322e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06458928374419e-06,0,0,0,0,0,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,0,0,0,0
"Birna_RdRp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84610808949302e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEPPP_synt_1",7.44474140690723e-06,1.36840088672377e-05,2.57006643621738e-05,0,0,0,0,0,3.72835225472103e-05,0,0,0,0,0,0,0,5.27345500951859e-06,0,5.80932629242987e-06,0,6.81677198579385e-06,3.20612498116402e-06,0,0,0,1.22583571349768e-05,1.06280655326521e-05,0,0,0,0,5.94883997620464e-06,0,0,0,0,5.1611970880526e-06,2.62734063208561e-06,0,0,0,8.69648401151414e-06,1.44590159193765e-05,8.06438605828938e-06,7.40044550681951e-06
"DUF2140",0,6.84200443361887e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jnk-SapK_ap_N",0,6.84200443361887e-06,0,1.46920545369064e-05,0,0,0,5.68685880666955e-06,0,0,0,0,0,0,5.69221617898605e-06,0,0,0,0,0,0,0,0,5.23223264599237e-06,0,1.5322946418721e-06,0,4.88472059398202e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FlhE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70355635340352e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SURF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72285572817197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF3281",0,0,0,0,1.45844879386285e-05,0,0,0,0,1.15705252439935e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUF1212",0,0,0,0,0,2.380697306241e-05,0,0,0,1.15705252439935e-05,1.26541432828644e-05,0,0,5.81882506284331e-06,1.13844323579721e-05,0,0,5.57817816701065e-06,0,0,6.81677198579385e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GARS_N",0.000431795001600619,0.000369468239415419,0.000424060961975867,0.000308533145275035,0.000320858734649826,0.00042852551512338,0.000214624160076604,0.000278656081526808,0.000382156106108905,0.00033554523207581,0.000354316011920203,0.00034039988616135,0.000382176188761805,0.000407317754399032,0.000389916808260544,0.000353040624533837,0.000358594940647264,0.000334690690020639,0.000336940924960932,0.000375991816648696,0.000381739231204455,0.000346261497965714,0.000361117005632681,0.000392417448449428,0.000362209151457486,0.000369283008691175,0.00030821390044691,0.00045916373583431,0.000446590560192034,0.00035903158507593,0.000430007654136244,0.000345032718619869,0.000377643504531722,0.000275924593750308,0.000514461031915292,0.000397005444646098,0.000369025591795761,0.000349436304067386,0.000360804220165223,0.000395189973465816,0.000363310974009809,0.000347859360460566,0.000361475397984413,0.000274189125981839,0.0003034182657796
"DUF630",0,0,1.28503321810869e-05,0,0,0,0,0,0,0,0,0,1.1077570688748e-05,0,2.84610808949302e-06,4.97240316244841e-06,0,0,0,5.52929142130436e-06,0,3.20612498116402e-06,0,0,0,1.5322946418721e-06,0,0,0,0,0,0,0,0,0,7.08938294010889e-06,0,0,0,0,0,0,0,0,0
