"","GS001c","GS002","GS003","GS004","GS005","GS006","GS007","GS008","GS009","GS011","GS013","GS014","GS015","GS016","GS017","GS018","GS019","GS021","GS022","GS023","GS026","GS027","GS028","GS029","GS030","GS031","GS034","GS035","GS036","GS048a","GS049","GS051","GS108a","GS110a","GS112a","GS113","GS114","GS117a","GS119","GS120","GS121","GS122a","GS123","GS148","GS149"
"HAS-barrel",0.00040201603597299,0.000410520266017132,0.000346958968889346,0.000337917254348848,0.000233351807018056,0.00038091156899856,0.000396229218602962,0.000295716657946817,0.000344872583561695,0.00028347786847784,0.000240428722374423,0.000239954018113738,0.000393253759450553,0.000424774229587562,0.000313071889844233,0.000377902640346079,0.000384962215694857,0.000323534333686618,0.00042408081934738,0.000387050399491305,0.000429456635105012,0.000429620747475978,0.000376008428545369,0.000282540562883588,0.000385635613989563,0.000432107089007931,0.000403866490240779,0.000341930441578742,0.000232599250100018,0.000300810246955509,0.000395607041805344,0.000297441998810232,0.000251762336354481,0.000463159139509445,0.000364799640812661,0.000389916061705989,0.00037676738742784,0.000378337051020328,0.000460336418831492,0.000263459982310544,0.000356582993009628,0.000382645296506622,0.000390393429823166,0.000379026144739601,0.000347820938820517
"Brr6_like_C_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72285572817197e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FYTT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52929142130436e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hom_end_hint",0,2.73680177344755e-05,1.28503321810869e-05,1.46920545369064e-05,4.37534638158854e-05,0,1.65095507751234e-05,2.27474352266782e-05,9.32088063680257e-06,6.3637888841964e-05,0,5.58032600264507e-06,0,5.81882506284331e-06,0,4.97240316244841e-06,0,0,0,0,0,0,3.72285572817197e-06,0,0,4.59688392561629e-06,0,0,0,9.70355635340352e-06,0,0,0,9.85444977679671e-06,0,0,1.03223941761052e-05,2.62734063208561e-06,0,0,0,0,0,0,7.40044550681951e-06
"DUF2783",1.48894828138145e-05,0,2.57006643621738e-05,0,0,0,0,1.13737176133391e-05,0,0,0,0,1.1077570688748e-05,0,5.69221617898605e-06,4.97240316244841e-06,1.58203650285558e-05,2.23127126680426e-05,0,5.52929142130436e-06,6.81677198579385e-06,6.41224996232803e-06,1.11685671845159e-05,0,7.20814231756192e-06,3.06458928374419e-06,0,0,0,9.70355635340352e-06,0,1.18976799524093e-05,3.59660480506402e-05,9.85444977679671e-06,9.35383694391439e-06,0,5.1611970880526e-06,0,1.24415248332836e-05,0,1.34559620003633e-05,0,7.22950795968826e-06,8.06438605828938e-06,7.40044550681951e-06
"Bunya_G2",0,0,0,0,0,0,0,0,0,0,0,0,5.53878534437398e-06,0,0,0,0,0,0,0,0,3.20612498116402e-06,0,0,0,0,0,0,0,0,8.60015308272487e-06,0,0,0,0,0,2.5805985440263e-06,0,0,0,0,8.69648401151414e-06,0,0,0
"Complex1_24kDa",0.000446684484414434,0.00042420427488437,0.000308407972346085,0.00041137752703338,0.000175013855263542,0.000369008082467355,0.000297171913952221,0.000454948704533564,0.000391476986745708,0.000532244161223699,0.000404932585051661,0.000518970318245992,0.000365559832728683,0.000477143655153151,0.000361455727365614,0.00043757147829546,0.000379688760685338,0.000379316115356724,0.00042989014563981,0.000436814022283044,0.000518074670920332,0.000387941122720846,0.000446742687380636,0.000460436472847329,0.000520788282443849,0.00054090000858085,0.000409180523007105,0.000366354044548652,0.000455894530196035,0.000407549366842948,0.000387006888722619,0.000511600237953599,0.000503524672708963,0.000453304689732649,0.000448984173307891,0.000482078039927405,0.000392250978691998,0.000512331423256694,0.000510102518164626,0.000414008543630855,0.000464230689012534,0.000417431232552679,0.00054221309697662,0.000346768600506443,0.000488429403450088
"D-aminoacyl_C",5.21131898483506e-05,4.78940310353321e-05,0.000128503321810869,0.000102844381758345,8.75069276317708e-05,0.000130938351843255,0.000198114609301481,0.00025590864630013,0.000158454970825644,9.83494645739443e-05,0.000151849719394373,0.000139508150066127,0.000132930848264976,0.000215296527325202,0.000147997620653637,6.46412411118293e-05,8.43752801522974e-05,8.92508506721705e-05,0.000104567873263738,9.39979541621741e-05,6.13509478721446e-05,9.93898744160845e-05,0.000107962816116987,8.89479549818703e-05,6.84773520168382e-05,0.000125648160633512,9.56525897938687e-05,4.88472059398202e-05,9.30397000400071e-05,0.000106739119887439,8.60015308272487e-05,5.35395597858418e-05,5.39490720759603e-05,9.85444977679671e-05,5.61230216634864e-05,9.21619782214156e-05,8.77403504968943e-05,6.30561751700546e-05,6.22076241664178e-05,0,8.07357720021799e-05,3.47859360460566e-05,9.39836034759474e-05,8.87082466411832e-05,0.000111006682602293
"NOP5NT",0,0,0,1.46920545369064e-05,0,0,0,0,0,0,1.26541432828644e-05,0,0,0,0,0,5.27345500951859e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62734063208561e-06,0,0,0,0,0,0,0
"MerR-DNA-bind",2.23342242207217e-05,1.36840088672377e-05,0.000102802657448695,1.46920545369064e-05,0.000145844879386285,4.761394612482e-05,8.25477538756171e-05,0.000187666340620095,9.32088063680256e-05,6.94231514639607e-05,0.000139195576111508,5.58032600264507e-05,8.86205655099837e-05,7.5644725816963e-05,2.56149728054372e-05,7.95584505991746e-05,8.43752801522974e-05,5.02036035030959e-05,2.90466314621493e-05,0.000110585828426087,0.000129518667730083,5.45041246797883e-05,5.21199801944075e-05,7.84834896898856e-05,7.74875299137906e-05,5.05657231817792e-05,5.84543604295864e-05,0.000107463853067605,5.58238200240042e-05,0.000232885352481685,6.8801224661799e-05,7.13860797144557e-05,0.000161847216227881,3.94177991071868e-05,4.6769184719572e-05,6.380444646098e-05,4.64507737924734e-05,7.88202189625683e-05,3.73245744998507e-05,3.76371403300777e-05,7.40077910019982e-05,0.000121750776161198,8.67540955162592e-05,4.83863163497363e-05,7.40044550681951e-05
